序号,单词,文件
4375,eagle,C:\GTT\EnglishDB\Words\e\eagle.md
4376,ear,C:\GTT\EnglishDB\Words\e\ear.md
4377,early,C:\GTT\EnglishDB\Words\e\early.md
4378,earmark,C:\GTT\EnglishDB\Words\e\earmark.md
4379,earn,C:\GTT\EnglishDB\Words\e\earn.md
4380,earned,C:\GTT\EnglishDB\Words\e\earned.md
4381,earnest,C:\GTT\EnglishDB\Words\e\earnest.md
4382,earnestly,C:\GTT\EnglishDB\Words\e\earnestly.md
4383,earnings,C:\GTT\EnglishDB\Words\e\earnings.md
4384,earphone,C:\GTT\EnglishDB\Words\e\earphone.md
4385,earring,C:\GTT\EnglishDB\Words\e\earring.md
4386,earshot,C:\GTT\EnglishDB\Words\e\earshot.md
4387,earth,C:\GTT\EnglishDB\Words\e\earth.md
4388,earthen,C:\GTT\EnglishDB\Words\e\earthen.md
4389,earthly,C:\GTT\EnglishDB\Words\e\earthly.md
4390,earthquake,C:\GTT\EnglishDB\Words\e\earthquake.md
4391,earthy,C:\GTT\EnglishDB\Words\e\earthy.md
4392,ease,C:\GTT\EnglishDB\Words\e\ease.md
4393,easel,C:\GTT\EnglishDB\Words\e\easel.md
4394,easily,C:\GTT\EnglishDB\Words\e\easily.md
4395,east,C:\GTT\EnglishDB\Words\e\east.md
4396,eastern,C:\GTT\EnglishDB\Words\e\eastern.md
4397,eastward,C:\GTT\EnglishDB\Words\e\eastward.md
4398,easy,C:\GTT\EnglishDB\Words\e\easy.md
4399,eat,C:\GTT\EnglishDB\Words\e\eat.md
4400,eater,C:\GTT\EnglishDB\Words\e\eater.md
4401,eatery,C:\GTT\EnglishDB\Words\e\eatery.md
4402,eating,C:\GTT\EnglishDB\Words\e\eating.md
4403,eavesdrop,C:\GTT\EnglishDB\Words\e\eavesdrop.md
4404,ebb,C:\GTT\EnglishDB\Words\e\ebb.md
4405,ebony,C:\GTT\EnglishDB\Words\e\ebony.md
4406,eccentric,C:\GTT\EnglishDB\Words\e\eccentric.md
4407,eccentricity,C:\GTT\EnglishDB\Words\e\eccentricity.md
4408,ecclesiastical,C:\GTT\EnglishDB\Words\e\ecclesiastical.md
4409,echelon,C:\GTT\EnglishDB\Words\e\echelon.md
4410,echo,C:\GTT\EnglishDB\Words\e\echo.md
4411,eclectic,C:\GTT\EnglishDB\Words\e\eclectic.md
4412,eclipse,C:\GTT\EnglishDB\Words\e\eclipse.md
4413,ecological,C:\GTT\EnglishDB\Words\e\ecological.md
4414,ecologist,C:\GTT\EnglishDB\Words\e\ecologist.md
4415,ecology,C:\GTT\EnglishDB\Words\e\ecology.md
4416,economic,C:\GTT\EnglishDB\Words\e\economic.md
4417,economical,C:\GTT\EnglishDB\Words\e\economical.md
4418,economically,C:\GTT\EnglishDB\Words\e\economically.md
4419,economics,C:\GTT\EnglishDB\Words\e\economics.md
4420,economist,C:\GTT\EnglishDB\Words\e\economist.md
4421,economy,C:\GTT\EnglishDB\Words\e\economy.md
4422,ecosystem,C:\GTT\EnglishDB\Words\e\ecosystem.md
4423,ecstasy,C:\GTT\EnglishDB\Words\e\ecstasy.md
4424,ecstatic,C:\GTT\EnglishDB\Words\e\ecstatic.md
4425,ecumenical,C:\GTT\EnglishDB\Words\e\ecumenical.md
4426,eddy,C:\GTT\EnglishDB\Words\e\eddy.md
4427,edge,C:\GTT\EnglishDB\Words\e\edge.md
4428,edgy,C:\GTT\EnglishDB\Words\e\edgy.md
4429,edible,C:\GTT\EnglishDB\Words\e\edible.md
4430,edict,C:\GTT\EnglishDB\Words\e\edict.md
4431,edifice,C:\GTT\EnglishDB\Words\e\edifice.md
4432,edit,C:\GTT\EnglishDB\Words\e\edit.md
4433,editing,C:\GTT\EnglishDB\Words\e\editing.md
4434,edition,C:\GTT\EnglishDB\Words\e\edition.md
4435,editor,C:\GTT\EnglishDB\Words\e\editor.md
4436,editorial,C:\GTT\EnglishDB\Words\e\editorial.md
4437,educate,C:\GTT\EnglishDB\Words\e\educate.md
4438,educated,C:\GTT\EnglishDB\Words\e\educated.md
4439,education,C:\GTT\EnglishDB\Words\e\education.md
4440,educational,C:\GTT\EnglishDB\Words\e\educational.md
4441,educator,C:\GTT\EnglishDB\Words\e\educator.md
4442,eel,C:\GTT\EnglishDB\Words\e\eel.md
4443,eerie,C:\GTT\EnglishDB\Words\e\eerie.md
4444,effect,C:\GTT\EnglishDB\Words\e\effect.md
4445,effective,C:\GTT\EnglishDB\Words\e\effective.md
4446,effectively,C:\GTT\EnglishDB\Words\e\effectively.md
4447,effectiveness,C:\GTT\EnglishDB\Words\e\effectiveness.md
4448,efficacy,C:\GTT\EnglishDB\Words\e\efficacy.md
4449,efficiency,C:\GTT\EnglishDB\Words\e\efficiency.md
4450,efficient,C:\GTT\EnglishDB\Words\e\efficient.md
4451,efficiently,C:\GTT\EnglishDB\Words\e\efficiently.md
4452,effigy,C:\GTT\EnglishDB\Words\e\effigy.md
4453,effluent,C:\GTT\EnglishDB\Words\e\effluent.md
4454,effort,C:\GTT\EnglishDB\Words\e\effort.md
4455,effortless,C:\GTT\EnglishDB\Words\e\effortless.md
4456,egalitarian,C:\GTT\EnglishDB\Words\e\egalitarian.md
4457,egg,C:\GTT\EnglishDB\Words\e\egg.md
4458,eggplant,C:\GTT\EnglishDB\Words\e\eggplant.md
4459,ego,C:\GTT\EnglishDB\Words\e\ego.md
4460,egregious,C:\GTT\EnglishDB\Words\e\egregious.md
4461,eh,C:\GTT\EnglishDB\Words\e\eh.md
4462,eight,C:\GTT\EnglishDB\Words\e\eight.md
4463,eighteen,C:\GTT\EnglishDB\Words\e\eighteen.md
4464,eighteenth,C:\GTT\EnglishDB\Words\e\eighteenth.md
4465,eighth,C:\GTT\EnglishDB\Words\e\eighth.md
4466,eighty,C:\GTT\EnglishDB\Words\e\eighty.md
4467,either,C:\GTT\EnglishDB\Words\e\either.md
4468,eject,C:\GTT\EnglishDB\Words\e\eject.md
4469,elaborate,C:\GTT\EnglishDB\Words\e\elaborate.md
4470,elaborately,C:\GTT\EnglishDB\Words\e\elaborately.md
4471,elaboration,C:\GTT\EnglishDB\Words\e\elaboration.md
4472,elapse,C:\GTT\EnglishDB\Words\e\elapse.md
4473,elastic,C:\GTT\EnglishDB\Words\e\elastic.md
4474,elasticity,C:\GTT\EnglishDB\Words\e\elasticity.md
4475,elated,C:\GTT\EnglishDB\Words\e\elated.md
4476,elation,C:\GTT\EnglishDB\Words\e\elation.md
4477,elbow,C:\GTT\EnglishDB\Words\e\elbow.md
4478,elder,C:\GTT\EnglishDB\Words\e\elder.md
4479,elderly,C:\GTT\EnglishDB\Words\e\elderly.md
4480,eldest,C:\GTT\EnglishDB\Words\e\eldest.md
4481,elect,C:\GTT\EnglishDB\Words\e\elect.md
4482,election,C:\GTT\EnglishDB\Words\e\election.md
4483,elective,C:\GTT\EnglishDB\Words\e\elective.md
4484,electoral,C:\GTT\EnglishDB\Words\e\electoral.md
4485,electorate,C:\GTT\EnglishDB\Words\e\electorate.md
4486,electric,C:\GTT\EnglishDB\Words\e\electric.md
4487,electrical,C:\GTT\EnglishDB\Words\e\electrical.md
4488,electrically,C:\GTT\EnglishDB\Words\e\electrically.md
4489,electrician,C:\GTT\EnglishDB\Words\e\electrician.md
4490,electricity,C:\GTT\EnglishDB\Words\e\electricity.md
4491,electrify,C:\GTT\EnglishDB\Words\e\electrify.md
4492,electrode,C:\GTT\EnglishDB\Words\e\electrode.md
4493,electromagnetic,C:\GTT\EnglishDB\Words\e\electromagnetic.md
4494,electron,C:\GTT\EnglishDB\Words\e\electron.md
4495,electronic,C:\GTT\EnglishDB\Words\e\electronic.md
4496,electronically,C:\GTT\EnglishDB\Words\e\electronically.md
4497,electronics,C:\GTT\EnglishDB\Words\e\electronics.md
4498,elegance,C:\GTT\EnglishDB\Words\e\elegance.md
4499,elegant,C:\GTT\EnglishDB\Words\e\elegant.md
4500,elegantly,C:\GTT\EnglishDB\Words\e\elegantly.md
4501,element,C:\GTT\EnglishDB\Words\e\element.md
4502,elemental,C:\GTT\EnglishDB\Words\e\elemental.md
4503,elementary,C:\GTT\EnglishDB\Words\e\elementary.md
4504,elephant,C:\GTT\EnglishDB\Words\e\elephant.md
4505,elevate,C:\GTT\EnglishDB\Words\e\elevate.md
4506,elevated,C:\GTT\EnglishDB\Words\e\elevated.md
4507,elevation,C:\GTT\EnglishDB\Words\e\elevation.md
4508,elevator,C:\GTT\EnglishDB\Words\e\elevator.md
4509,eleven,C:\GTT\EnglishDB\Words\e\eleven.md
4510,eleventh,C:\GTT\EnglishDB\Words\e\eleventh.md
4511,elf,C:\GTT\EnglishDB\Words\e\elf.md
4512,elicit,C:\GTT\EnglishDB\Words\e\elicit.md
4513,eligibility,C:\GTT\EnglishDB\Words\e\eligibility.md
4514,eligible,C:\GTT\EnglishDB\Words\e\eligible.md
4515,eliminate,C:\GTT\EnglishDB\Words\e\eliminate.md
4516,elimination,C:\GTT\EnglishDB\Words\e\elimination.md
4517,elite,C:\GTT\EnglishDB\Words\e\elite.md
4518,elitist,C:\GTT\EnglishDB\Words\e\elitist.md
4519,elixir,C:\GTT\EnglishDB\Words\e\elixir.md
4520,elk,C:\GTT\EnglishDB\Words\e\elk.md
4521,elliptical,C:\GTT\EnglishDB\Words\e\elliptical.md
4522,elm,C:\GTT\EnglishDB\Words\e\elm.md
4523,eloquence,C:\GTT\EnglishDB\Words\e\eloquence.md
4524,eloquent,C:\GTT\EnglishDB\Words\e\eloquent.md
4525,eloquently,C:\GTT\EnglishDB\Words\e\eloquently.md
4526,else,C:\GTT\EnglishDB\Words\e\else.md
4527,elsewhere,C:\GTT\EnglishDB\Words\e\elsewhere.md
4528,elucidate,C:\GTT\EnglishDB\Words\e\elucidate.md
4529,elude,C:\GTT\EnglishDB\Words\e\elude.md
4530,elusive,C:\GTT\EnglishDB\Words\e\elusive.md
4531,em,C:\GTT\EnglishDB\Words\e\em.md
4532,emanate,C:\GTT\EnglishDB\Words\e\emanate.md
4533,emancipation,C:\GTT\EnglishDB\Words\e\emancipation.md
4534,embankment,C:\GTT\EnglishDB\Words\e\embankment.md
4535,embargo,C:\GTT\EnglishDB\Words\e\embargo.md
4536,embark,C:\GTT\EnglishDB\Words\e\embark.md
4537,embarrass,C:\GTT\EnglishDB\Words\e\embarrass.md
4538,embarrassment,C:\GTT\EnglishDB\Words\e\embarrassment.md
4539,embassy,C:\GTT\EnglishDB\Words\e\embassy.md
4540,embed,C:\GTT\EnglishDB\Words\e\embed.md
4541,embedded,C:\GTT\EnglishDB\Words\e\embedded.md
4542,embellish,C:\GTT\EnglishDB\Words\e\embellish.md
4543,embellishment,C:\GTT\EnglishDB\Words\e\embellishment.md
4544,ember,C:\GTT\EnglishDB\Words\e\ember.md
4545,emblazon,C:\GTT\EnglishDB\Words\e\emblazon.md
4546,emblem,C:\GTT\EnglishDB\Words\e\emblem.md
4547,emblematic,C:\GTT\EnglishDB\Words\e\emblematic.md
4548,embodiment,C:\GTT\EnglishDB\Words\e\embodiment.md
4549,embody,C:\GTT\EnglishDB\Words\e\embody.md
4550,embolden,C:\GTT\EnglishDB\Words\e\embolden.md
4551,embrace,C:\GTT\EnglishDB\Words\e\embrace.md
4552,embroider,C:\GTT\EnglishDB\Words\e\embroider.md
4553,embroidery,C:\GTT\EnglishDB\Words\e\embroidery.md
4554,embroil,C:\GTT\EnglishDB\Words\e\embroil.md
4555,embryo,C:\GTT\EnglishDB\Words\e\embryo.md
4556,embryonic,C:\GTT\EnglishDB\Words\e\embryonic.md
4557,emerald,C:\GTT\EnglishDB\Words\e\emerald.md
4558,emerge,C:\GTT\EnglishDB\Words\e\emerge.md
4559,emergence,C:\GTT\EnglishDB\Words\e\emergence.md
4560,emergency,C:\GTT\EnglishDB\Words\e\emergency.md
4561,emergent,C:\GTT\EnglishDB\Words\e\emergent.md
4562,emeritus,C:\GTT\EnglishDB\Words\e\emeritus.md
4563,emigrant,C:\GTT\EnglishDB\Words\e\emigrant.md
4564,emigrate,C:\GTT\EnglishDB\Words\e\emigrate.md
4565,emigration,C:\GTT\EnglishDB\Words\e\emigration.md
4566,emigre,C:\GTT\EnglishDB\Words\e\emigre.md
4567,eminent,C:\GTT\EnglishDB\Words\e\eminent.md
4568,emissary,C:\GTT\EnglishDB\Words\e\emissary.md
4569,emission,C:\GTT\EnglishDB\Words\e\emission.md
4570,emit,C:\GTT\EnglishDB\Words\e\emit.md
4571,emotion,C:\GTT\EnglishDB\Words\e\emotion.md
4572,emotional,C:\GTT\EnglishDB\Words\e\emotional.md
4573,emotionally,C:\GTT\EnglishDB\Words\e\emotionally.md
4574,empathetic,C:\GTT\EnglishDB\Words\e\empathetic.md
4575,empathize,C:\GTT\EnglishDB\Words\e\empathize.md
4576,empathy,C:\GTT\EnglishDB\Words\e\empathy.md
4577,emperor,C:\GTT\EnglishDB\Words\e\emperor.md
4578,emphasis,C:\GTT\EnglishDB\Words\e\emphasis.md
4579,emphasize,C:\GTT\EnglishDB\Words\e\emphasize.md
4580,emphatic,C:\GTT\EnglishDB\Words\e\emphatic.md
4581,emphatically,C:\GTT\EnglishDB\Words\e\emphatically.md
4582,emphysema,C:\GTT\EnglishDB\Words\e\emphysema.md
4583,empire,C:\GTT\EnglishDB\Words\e\empire.md
4584,empirical,C:\GTT\EnglishDB\Words\e\empirical.md
4585,empirically,C:\GTT\EnglishDB\Words\e\empirically.md
4586,employ,C:\GTT\EnglishDB\Words\e\employ.md
4587,employee,C:\GTT\EnglishDB\Words\e\employee.md
4588,employer,C:\GTT\EnglishDB\Words\e\employer.md
4589,employment,C:\GTT\EnglishDB\Words\e\employment.md
4590,empower,C:\GTT\EnglishDB\Words\e\empower.md
4591,emptiness,C:\GTT\EnglishDB\Words\e\emptiness.md
4592,empty,C:\GTT\EnglishDB\Words\e\empty.md
4593,emulate,C:\GTT\EnglishDB\Words\e\emulate.md
4594,enable,C:\GTT\EnglishDB\Words\e\enable.md
4595,enact,C:\GTT\EnglishDB\Words\e\enact.md
4596,enactment,C:\GTT\EnglishDB\Words\e\enactment.md
4597,enamel,C:\GTT\EnglishDB\Words\e\enamel.md
4598,enamor,C:\GTT\EnglishDB\Words\e\enamor.md
4599,encampment,C:\GTT\EnglishDB\Words\e\encampment.md
4600,encapsulate,C:\GTT\EnglishDB\Words\e\encapsulate.md
4601,encase,C:\GTT\EnglishDB\Words\e\encase.md
4602,enchant,C:\GTT\EnglishDB\Words\e\enchant.md
4603,enchanting,C:\GTT\EnglishDB\Words\e\enchanting.md
4604,enchantment,C:\GTT\EnglishDB\Words\e\enchantment.md
4605,encircle,C:\GTT\EnglishDB\Words\e\encircle.md
4606,enclave,C:\GTT\EnglishDB\Words\e\enclave.md
4607,enclose,C:\GTT\EnglishDB\Words\e\enclose.md
4608,enclosed,C:\GTT\EnglishDB\Words\e\enclosed.md
4609,enclosure,C:\GTT\EnglishDB\Words\e\enclosure.md
4610,encode,C:\GTT\EnglishDB\Words\e\encode.md
4611,encompass,C:\GTT\EnglishDB\Words\e\encompass.md
4612,encore,C:\GTT\EnglishDB\Words\e\encore.md
4613,encounter,C:\GTT\EnglishDB\Words\e\encounter.md
4614,encourage,C:\GTT\EnglishDB\Words\e\encourage.md
4615,encouragement,C:\GTT\EnglishDB\Words\e\encouragement.md
4616,encouraging,C:\GTT\EnglishDB\Words\e\encouraging.md
4617,encroach,C:\GTT\EnglishDB\Words\e\encroach.md
4618,encroachment,C:\GTT\EnglishDB\Words\e\encroachment.md
4619,encyclopedia,C:\GTT\EnglishDB\Words\e\encyclopedia.md
4620,end,C:\GTT\EnglishDB\Words\e\end.md
4621,endanger,C:\GTT\EnglishDB\Words\e\endanger.md
4622,endangered,C:\GTT\EnglishDB\Words\e\endangered.md
4623,endear,C:\GTT\EnglishDB\Words\e\endear.md
4624,endearing,C:\GTT\EnglishDB\Words\e\endearing.md
4625,endeavor,C:\GTT\EnglishDB\Words\e\endeavor.md
4626,endemic,C:\GTT\EnglishDB\Words\e\endemic.md
4627,ending,C:\GTT\EnglishDB\Words\e\ending.md
4628,endless,C:\GTT\EnglishDB\Words\e\endless.md
4629,endlessly,C:\GTT\EnglishDB\Words\e\endlessly.md
4630,endorse,C:\GTT\EnglishDB\Words\e\endorse.md
4631,endorsement,C:\GTT\EnglishDB\Words\e\endorsement.md
4632,endoscopic,C:\GTT\EnglishDB\Words\e\endoscopic.md
4633,endow,C:\GTT\EnglishDB\Words\e\endow.md
4634,endowment,C:\GTT\EnglishDB\Words\e\endowment.md
4635,endurance,C:\GTT\EnglishDB\Words\e\endurance.md
4636,endure,C:\GTT\EnglishDB\Words\e\endure.md
4637,enduring,C:\GTT\EnglishDB\Words\e\enduring.md
4638,enemy,C:\GTT\EnglishDB\Words\e\enemy.md
4639,energetic,C:\GTT\EnglishDB\Words\e\energetic.md
4640,energetically,C:\GTT\EnglishDB\Words\e\energetically.md
4641,energize,C:\GTT\EnglishDB\Words\e\energize.md
4642,energy,C:\GTT\EnglishDB\Words\e\energy.md
4643,enforce,C:\GTT\EnglishDB\Words\e\enforce.md
4644,enforceable,C:\GTT\EnglishDB\Words\e\enforceable.md
4645,enforcement,C:\GTT\EnglishDB\Words\e\enforcement.md
4646,engage,C:\GTT\EnglishDB\Words\e\engage.md
4647,engaged,C:\GTT\EnglishDB\Words\e\engaged.md
4648,engagement,C:\GTT\EnglishDB\Words\e\engagement.md
4649,engaging,C:\GTT\EnglishDB\Words\e\engaging.md
4650,engender,C:\GTT\EnglishDB\Words\e\engender.md
4651,engine,C:\GTT\EnglishDB\Words\e\engine.md
4652,engineer,C:\GTT\EnglishDB\Words\e\engineer.md
4653,engineering,C:\GTT\EnglishDB\Words\e\engineering.md
4654,engrave,C:\GTT\EnglishDB\Words\e\engrave.md
4655,engraving,C:\GTT\EnglishDB\Words\e\engraving.md
4656,engross,C:\GTT\EnglishDB\Words\e\engross.md
4657,engulf,C:\GTT\EnglishDB\Words\e\engulf.md
4658,enhance,C:\GTT\EnglishDB\Words\e\enhance.md
4659,enhancement,C:\GTT\EnglishDB\Words\e\enhancement.md
4660,enigma,C:\GTT\EnglishDB\Words\e\enigma.md
4661,enigmatic,C:\GTT\EnglishDB\Words\e\enigmatic.md
4662,enjoin,C:\GTT\EnglishDB\Words\e\enjoin.md
4663,enjoy,C:\GTT\EnglishDB\Words\e\enjoy.md
4664,enjoyable,C:\GTT\EnglishDB\Words\e\enjoyable.md
4665,enjoyment,C:\GTT\EnglishDB\Words\e\enjoyment.md
4666,enlarge,C:\GTT\EnglishDB\Words\e\enlarge.md
4667,enlargement,C:\GTT\EnglishDB\Words\e\enlargement.md
4668,enlighten,C:\GTT\EnglishDB\Words\e\enlighten.md
4669,enlightened,C:\GTT\EnglishDB\Words\e\enlightened.md
4670,enlightenment,C:\GTT\EnglishDB\Words\e\enlightenment.md
4671,enlist,C:\GTT\EnglishDB\Words\e\enlist.md
4672,enlistment,C:\GTT\EnglishDB\Words\e\enlistment.md
4673,enliven,C:\GTT\EnglishDB\Words\e\enliven.md
4674,enmity,C:\GTT\EnglishDB\Words\e\enmity.md
4675,enormity,C:\GTT\EnglishDB\Words\e\enormity.md
4676,enormous,C:\GTT\EnglishDB\Words\e\enormous.md
4677,enormously,C:\GTT\EnglishDB\Words\e\enormously.md
4678,enough,C:\GTT\EnglishDB\Words\e\enough.md
4679,enrage,C:\GTT\EnglishDB\Words\e\enrage.md
4680,enrich,C:\GTT\EnglishDB\Words\e\enrich.md
4681,enrichment,C:\GTT\EnglishDB\Words\e\enrichment.md
4682,enroll,C:\GTT\EnglishDB\Words\e\enroll.md
4683,enrollment,C:\GTT\EnglishDB\Words\e\enrollment.md
4684,ensemble,C:\GTT\EnglishDB\Words\e\ensemble.md
4685,enshrine,C:\GTT\EnglishDB\Words\e\enshrine.md
4686,enslave,C:\GTT\EnglishDB\Words\e\enslave.md
4687,ensue,C:\GTT\EnglishDB\Words\e\ensue.md
4688,ensure,C:\GTT\EnglishDB\Words\e\ensure.md
4689,entail,C:\GTT\EnglishDB\Words\e\entail.md
4690,entangle,C:\GTT\EnglishDB\Words\e\entangle.md
4691,entanglement,C:\GTT\EnglishDB\Words\e\entanglement.md
4692,enter,C:\GTT\EnglishDB\Words\e\enter.md
4693,enterprise,C:\GTT\EnglishDB\Words\e\enterprise.md
4694,enterprising,C:\GTT\EnglishDB\Words\e\enterprising.md
4695,entertain,C:\GTT\EnglishDB\Words\e\entertain.md
4696,entertainer,C:\GTT\EnglishDB\Words\e\entertainer.md
4697,entertaining,C:\GTT\EnglishDB\Words\e\entertaining.md
4698,entertainment,C:\GTT\EnglishDB\Words\e\entertainment.md
4699,enthuse,C:\GTT\EnglishDB\Words\e\enthuse.md
4700,enthusiasm,C:\GTT\EnglishDB\Words\e\enthusiasm.md
4701,enthusiast,C:\GTT\EnglishDB\Words\e\enthusiast.md
4702,enthusiastic,C:\GTT\EnglishDB\Words\e\enthusiastic.md
4703,enthusiastically,C:\GTT\EnglishDB\Words\e\enthusiastically.md
4704,entice,C:\GTT\EnglishDB\Words\e\entice.md
4705,enticing,C:\GTT\EnglishDB\Words\e\enticing.md
4706,entire,C:\GTT\EnglishDB\Words\e\entire.md
4707,entirely,C:\GTT\EnglishDB\Words\e\entirely.md
4708,entirety,C:\GTT\EnglishDB\Words\e\entirety.md
4709,entitle,C:\GTT\EnglishDB\Words\e\entitle.md
4710,entity,C:\GTT\EnglishDB\Words\e\entity.md
4711,entomologist,C:\GTT\EnglishDB\Words\e\entomologist.md
4712,entourage,C:\GTT\EnglishDB\Words\e\entourage.md
4713,entrance,C:\GTT\EnglishDB\Words\e\entrance.md
4714,entrant,C:\GTT\EnglishDB\Words\e\entrant.md
4715,entree,C:\GTT\EnglishDB\Words\e\entree.md
4716,entrench,C:\GTT\EnglishDB\Words\e\entrench.md
4717,entrepreneur,C:\GTT\EnglishDB\Words\e\entrepreneur.md
4718,entrust,C:\GTT\EnglishDB\Words\e\entrust.md
4719,entry,C:\GTT\EnglishDB\Words\e\entry.md
4720,entryway,C:\GTT\EnglishDB\Words\e\entryway.md
4721,entwine,C:\GTT\EnglishDB\Words\e\entwine.md
4722,enumerate,C:\GTT\EnglishDB\Words\e\enumerate.md
4723,enunciate,C:\GTT\EnglishDB\Words\e\enunciate.md
4724,envelop,C:\GTT\EnglishDB\Words\e\envelop.md
4725,envelope,C:\GTT\EnglishDB\Words\e\envelope.md
4726,enviable,C:\GTT\EnglishDB\Words\e\enviable.md
4727,envious,C:\GTT\EnglishDB\Words\e\envious.md
4728,environment,C:\GTT\EnglishDB\Words\e\environment.md
4729,environmental,C:\GTT\EnglishDB\Words\e\environmental.md
4730,environmentalism,C:\GTT\EnglishDB\Words\e\environmentalism.md
4731,environs,C:\GTT\EnglishDB\Words\e\environs.md
4732,envisage,C:\GTT\EnglishDB\Words\e\envisage.md
4733,envision,C:\GTT\EnglishDB\Words\e\envision.md
4734,envoy,C:\GTT\EnglishDB\Words\e\envoy.md
4735,envy,C:\GTT\EnglishDB\Words\e\envy.md
4736,enzyme,C:\GTT\EnglishDB\Words\e\enzyme.md
4737,eon,C:\GTT\EnglishDB\Words\e\eon.md
4738,ephemeral,C:\GTT\EnglishDB\Words\e\ephemeral.md
4739,epic,C:\GTT\EnglishDB\Words\e\epic.md
4740,epicenter,C:\GTT\EnglishDB\Words\e\epicenter.md
4741,epidemic,C:\GTT\EnglishDB\Words\e\epidemic.md
4742,epidemiologist,C:\GTT\EnglishDB\Words\e\epidemiologist.md
4743,epidemiology,C:\GTT\EnglishDB\Words\e\epidemiology.md
4744,epilepsy,C:\GTT\EnglishDB\Words\e\epilepsy.md
4745,epiphany,C:\GTT\EnglishDB\Words\e\epiphany.md
4746,episode,C:\GTT\EnglishDB\Words\e\episode.md
4747,episodic,C:\GTT\EnglishDB\Words\e\episodic.md
4748,epistemological,C:\GTT\EnglishDB\Words\e\epistemological.md
4749,epistemology,C:\GTT\EnglishDB\Words\e\epistemology.md
4750,epithet,C:\GTT\EnglishDB\Words\e\epithet.md
4751,epitome,C:\GTT\EnglishDB\Words\e\epitome.md
4752,epitomize,C:\GTT\EnglishDB\Words\e\epitomize.md
4753,epoch,C:\GTT\EnglishDB\Words\e\epoch.md
4754,equal,C:\GTT\EnglishDB\Words\e\equal.md
4755,equality,C:\GTT\EnglishDB\Words\e\equality.md
4756,equalize,C:\GTT\EnglishDB\Words\e\equalize.md
4757,equally,C:\GTT\EnglishDB\Words\e\equally.md
4758,equate,C:\GTT\EnglishDB\Words\e\equate.md
4759,equation,C:\GTT\EnglishDB\Words\e\equation.md
4760,equator,C:\GTT\EnglishDB\Words\e\equator.md
4761,equatorial,C:\GTT\EnglishDB\Words\e\equatorial.md
4762,equestrian,C:\GTT\EnglishDB\Words\e\equestrian.md
4763,equilibrium,C:\GTT\EnglishDB\Words\e\equilibrium.md
4764,equip,C:\GTT\EnglishDB\Words\e\equip.md
4765,equipment,C:\GTT\EnglishDB\Words\e\equipment.md
4766,equitable,C:\GTT\EnglishDB\Words\e\equitable.md
4767,equity,C:\GTT\EnglishDB\Words\e\equity.md
4768,equivalence,C:\GTT\EnglishDB\Words\e\equivalence.md
4769,equivalent,C:\GTT\EnglishDB\Words\e\equivalent.md
4770,era,C:\GTT\EnglishDB\Words\e\era.md
4771,eradicate,C:\GTT\EnglishDB\Words\e\eradicate.md
4772,eradication,C:\GTT\EnglishDB\Words\e\eradication.md
4773,erase,C:\GTT\EnglishDB\Words\e\erase.md
4774,eraser,C:\GTT\EnglishDB\Words\e\eraser.md
4775,erect,C:\GTT\EnglishDB\Words\e\erect.md
4776,erection,C:\GTT\EnglishDB\Words\e\erection.md
4777,erode,C:\GTT\EnglishDB\Words\e\erode.md
4778,erosion,C:\GTT\EnglishDB\Words\e\erosion.md
4779,erotic,C:\GTT\EnglishDB\Words\e\erotic.md
4780,err,C:\GTT\EnglishDB\Words\e\err.md
4781,errand,C:\GTT\EnglishDB\Words\e\errand.md
4782,errant,C:\GTT\EnglishDB\Words\e\errant.md
4783,erratic,C:\GTT\EnglishDB\Words\e\erratic.md
4784,erroneous,C:\GTT\EnglishDB\Words\e\erroneous.md
4785,error,C:\GTT\EnglishDB\Words\e\error.md
4786,erstwhile,C:\GTT\EnglishDB\Words\e\erstwhile.md
4787,erupt,C:\GTT\EnglishDB\Words\e\erupt.md
4788,eruption,C:\GTT\EnglishDB\Words\e\eruption.md
4789,escalate,C:\GTT\EnglishDB\Words\e\escalate.md
4790,escalation,C:\GTT\EnglishDB\Words\e\escalation.md
4791,escalator,C:\GTT\EnglishDB\Words\e\escalator.md
4792,escape,C:\GTT\EnglishDB\Words\e\escape.md
4793,eschew,C:\GTT\EnglishDB\Words\e\eschew.md
4794,escort,C:\GTT\EnglishDB\Words\e\escort.md
4795,esophagus,C:\GTT\EnglishDB\Words\e\esophagus.md
4796,esoteric,C:\GTT\EnglishDB\Words\e\esoteric.md
4797,especially,C:\GTT\EnglishDB\Words\e\especially.md
4798,espionage,C:\GTT\EnglishDB\Words\e\espionage.md
4799,espouse,C:\GTT\EnglishDB\Words\e\espouse.md
4800,espresso,C:\GTT\EnglishDB\Words\e\espresso.md
4801,essay,C:\GTT\EnglishDB\Words\e\essay.md
4802,essayist,C:\GTT\EnglishDB\Words\e\essayist.md
4803,essence,C:\GTT\EnglishDB\Words\e\essence.md
4804,essential,C:\GTT\EnglishDB\Words\e\essential.md
4805,essentially,C:\GTT\EnglishDB\Words\e\essentially.md
4806,establish,C:\GTT\EnglishDB\Words\e\establish.md
4807,established,C:\GTT\EnglishDB\Words\e\established.md
4808,establishment,C:\GTT\EnglishDB\Words\e\establishment.md
4809,estate,C:\GTT\EnglishDB\Words\e\estate.md
