Word,Encoding,TokenIDs,TokenPieces,TokenCount,SingleToken,Token1,Piece1,Token2,Piece2,Token3,Piece3,Token4,Piece4,Token5,Piece5,Token6,Piece6,Token7,Piece7,Token8,Piece8,TokenID,GTT,GTT码,GTT字,Chinese,POS,Frequency
compete,o200k_base,3697 4539,comp | ete,2,NO,3697,comp,4539,ete,,,,,,,,,,,,,2997,,,,,,
competence,o200k_base,48270 1082,compet | ence,2,NO,48270,compet,1082,ence,,,,,,,,,,,,,2998,,,,,,
competency,o200k_base,48270 2799,compet | ency,2,NO,48270,compet,2799,ency,,,,,,,,,,,,,2999,,,,,,
competent,o200k_base,48270 299,compet | ent,2,NO,48270,compet,299,ent,,,,,,,,,,,,,3000,,,,,,
competing,o200k_base,3697 8139,comp | eting,2,NO,3697,comp,8139,eting,,,,,,,,,,,,,3001,,,,,,
competition,o200k_base,169901,competition,1,YES,169901,competition,,,,,,,,,,,,,,,3002,,,,,,
competitive,o200k_base,181209,competitive,1,YES,181209,competitive,,,,,,,,,,,,,,,3003,,,,,,
competitiveness,o200k_base,48270 278 17140,compet | it | iveness,3,NO,48270,compet,278,it,17140,iveness,,,,,,,,,,,3004,,,,,,
competitor,o200k_base,48270 2599,compet | itor,2,NO,48270,compet,2599,itor,,,,,,,,,,,,,3005,,,,,,
compilation,o200k_base,3697 21718,comp | ilation,2,NO,3697,comp,21718,ilation,,,,,,,,,,,,,3006,,,,,,
compile,o200k_base,42925,compile,1,YES,42925,compile,,,,,,,,,,,,,,,3007,,,,,,
complacency,o200k_base,639 6081 2799,com | plac | ency,3,NO,639,com,6081,plac,2799,ency,,,,,,,,,,,3008,,,,,,
complacent,o200k_base,639 6081 299,com | plac | ent,3,NO,639,com,6081,plac,299,ent,,,,,,,,,,,3009,,,,,,
complain,o200k_base,14845 524,compl | ain,2,NO,14845,compl,524,ain,,,,,,,,,,,,,3010,,,,,,
complaint,o200k_base,14845 4649,compl | aint,2,NO,14845,compl,4649,aint,,,,,,,,,,,,,3011,,,,,,
complement,o200k_base,639 13429,com | plement,2,NO,639,com,13429,plement,,,,,,,,,,,,,3012,,,,,,
complementary,o200k_base,639 13429 815,com | plement | ary,3,NO,639,com,13429,plement,815,ary,,,,,,,,,,,3013,,,,,,
complete,o200k_base,26232,complete,1,YES,26232,complete,,,,,,,,,,,,,,,3014,,,,,,
completed,o200k_base,70487,completed,1,YES,70487,completed,,,,,,,,,,,,,,,3015,,,,,,
completely,o200k_base,639 82659,com | pletely,2,NO,639,com,82659,pletely,,,,,,,,,,,,,3016,,,,,,
completion,o200k_base,106669,completion,1,YES,106669,completion,,,,,,,,,,,,,,,3017,,,,,,
complex,o200k_base,42544,complex,1,YES,42544,complex,,,,,,,,,,,,,,,3018,,,,,,
complexion,o200k_base,42544 294,complex | ion,2,NO,42544,complex,294,ion,,,,,,,,,,,,,3019,,,,,,
complexity,o200k_base,42544 536,complex | ity,2,NO,42544,complex,536,ity,,,,,,,,,,,,,3020,,,,,,
compliance,o200k_base,639 10794,com | pliance,2,NO,639,com,10794,pliance,,,,,,,,,,,,,3021,,,,,,
compliant,o200k_base,639 103716,com | pliant,2,NO,639,com,103716,pliant,,,,,,,,,,,,,3022,,,,,,
complicate,o200k_base,3697 169513,comp | licate,2,NO,3697,comp,169513,licate,,,,,,,,,,,,,3023,,,,,,
complicated,o200k_base,3697 90176,comp | licated,2,NO,3697,comp,90176,licated,,,,,,,,,,,,,3024,,,,,,
complication,o200k_base,3697 2389,comp | lication,2,NO,3697,comp,2389,lication,,,,,,,,,,,,,3025,,,,,,
complicity,o200k_base,3697 122465,comp | licity,2,NO,3697,comp,122465,licity,,,,,,,,,,,,,3026,,,,,,
compliment,o200k_base,14845 2581,compl | iment,2,NO,14845,compl,2581,iment,,,,,,,,,,,,,3027,,,,,,
complimentary,o200k_base,14845 92543,compl | imentary,2,NO,14845,compl,92543,imentary,,,,,,,,,,,,,3028,,,,,,
comply,o200k_base,3697 423,comp | ly,2,NO,3697,comp,423,ly,,,,,,,,,,,,,3029,,,,,,
component,o200k_base,16294,component,1,YES,16294,component,,,,,,,,,,,,,,,3030,,,,,,
compose,o200k_base,65322,compose,1,YES,65322,compose,,,,,,,,,,,,,,,3031,,,,,,
composer,o200k_base,165799,composer,1,YES,165799,composer,,,,,,,,,,,,,,,3032,,,,,,
composite,o200k_base,639 25800,com | posite,2,NO,639,com,25800,posite,,,,,,,,,,,,,3033,,,,,,
composition,o200k_base,119135,composition,1,YES,119135,composition,,,,,,,,,,,,,,,3034,,,,,,
compositional,o200k_base,639 1103 3616,com | pos | itional,3,NO,639,com,1103,pos,3616,itional,,,,,,,,,,,3035,,,,,,
compost,o200k_base,3697 564,comp | ost,2,NO,3697,comp,564,ost,,,,,,,,,,,,,3036,,,,,,
composting,o200k_base,3697 564 289,comp | ost | ing,3,NO,3697,comp,564,ost,289,ing,,,,,,,,,,,3037,,,,,,
composure,o200k_base,639 58754,com | posure,2,NO,639,com,58754,posure,,,,,,,,,,,,,3038,,,,,,
compound,o200k_base,170196,compound,1,YES,170196,compound,,,,,,,,,,,,,,,3039,,,,,,
comprehend,o200k_base,639 41989 419,com | preh | end,3,NO,639,com,41989,preh,419,end,,,,,,,,,,,3040,,,,,,
comprehensible,o200k_base,639 41989 69897,com | preh | ensible,3,NO,639,com,41989,preh,69897,ensible,,,,,,,,,,,3041,,,,,,
comprehension,o200k_base,639 41989 3902,com | preh | ension,3,NO,639,com,41989,preh,3902,ension,,,,,,,,,,,3042,,,,,,
comprehensive,o200k_base,639 75964,com | prehensive,2,NO,639,com,75964,prehensive,,,,,,,,,,,,,3043,,,,,,
compress,o200k_base,69636,compress,1,YES,69636,compress,,,,,,,,,,,,,,,3044,,,,,,
compressed,o200k_base,91086,compressed,1,YES,91086,compressed,,,,,,,,,,,,,,,3045,,,,,,
compression,o200k_base,157910,compression,1,YES,157910,compression,,,,,,,,,,,,,,,3046,,,,,,
compressor,o200k_base,69636 267,compress | or,2,NO,69636,compress,267,or,,,,,,,,,,,,,3047,,,,,,
comprise,o200k_base,639 7463,com | prise,2,NO,639,com,7463,prise,,,,,,,,,,,,,3048,,,,,,
compromise,o200k_base,3697 48330,comp | romise,2,NO,3697,comp,48330,romise,,,,,,,,,,,,,3049,,,,,,
compromised,o200k_base,3697 511 5761,comp | rom | ised,3,NO,3697,comp,511,rom,5761,ised,,,,,,,,,,,3050,,,,,,
compulsion,o200k_base,3697 56070,comp | ulsion,2,NO,3697,comp,56070,ulsion,,,,,,,,,,,,,3051,,,,,,
compulsive,o200k_base,3697 147739,comp | ulsive,2,NO,3697,comp,147739,ulsive,,,,,,,,,,,,,3052,,,,,,
compulsory,o200k_base,3697 13433 819,comp | uls | ory,3,NO,3697,comp,13433,uls,819,ory,,,,,,,,,,,3053,,,,,,
computation,o200k_base,639 47913,com | putation,2,NO,639,com,47913,putation,,,,,,,,,,,,,3054,,,,,,
computational,o200k_base,113429 1953,comput | ational,2,NO,113429,comput,1953,ational,,,,,,,,,,,,,3055,,,,,,
compute,o200k_base,54521,compute,1,YES,54521,compute,,,,,,,,,,,,,,,3056,,,,,,
computer-based,o200k_base,76982 8235,computer | -based,2,NO,76982,computer,8235,-based,,,,,,,,,,,,,3057,,,,,,
computer-generated,o200k_base,76982 25147,computer | -generated,2,NO,76982,computer,25147,-generated,,,,,,,,,,,,,3058,,,,,,
computer,o200k_base,76982,computer,1,YES,76982,computer,,,,,,,,,,,,,,,3059,,,,,,
computerized,o200k_base,76982 2110,computer | ized,2,NO,76982,computer,2110,ized,,,,,,,,,,,,,3060,,,,,,
computing,o200k_base,113429 289,comput | ing,2,NO,113429,comput,289,ing,,,,,,,,,,,,,3061,,,,,,
comrade,o200k_base,639 55949,com | rade,2,NO,639,com,55949,rade,,,,,,,,,,,,,3062,,,,,,
con,o200k_base,542,con,1,YES,542,con,,,,,,,,,,,,,,,3063,,,,,,
conceal,o200k_base,98266 280,conce | al,2,NO,98266,conce,280,al,,,,,,,,,,,,,3064,,,,,,
concealed,o200k_base,98266 9536,conce | aled,2,NO,98266,conce,9536,aled,,,,,,,,,,,,,3065,,,,,,
concealment,o200k_base,98266 280 508,conce | al | ment,3,NO,98266,conce,280,al,508,ment,,,,,,,,,,,3066,,,,,,
concede,o200k_base,542 163658,con | cede,2,NO,542,con,163658,cede,,,,,,,,,,,,,3067,,,,,,
conceit,o200k_base,98266 278,conce | it,2,NO,98266,conce,278,it,,,,,,,,,,,,,3068,,,,,,
conceivable,o200k_base,98266 73462,conce | ivable,2,NO,98266,conce,73462,ivable,,,,,,,,,,,,,3069,,,,,,
conceivably,o200k_base,98266 349 4235,conce | iv | ably,3,NO,98266,conce,349,iv,4235,ably,,,,,,,,,,,3070,,,,,,
conceive,o200k_base,98266 585,conce | ive,2,NO,98266,conce,585,ive,,,,,,,,,,,,,3071,,,,,,
concentrate,o200k_base,542 9758 379,con | centr | ate,3,NO,542,con,9758,centr,379,ate,,,,,,,,,,,3072,,,,,,
concentrated,o200k_base,542 9758 780,con | centr | ated,3,NO,542,con,9758,centr,780,ated,,,,,,,,,,,3073,,,,,,
concentration,o200k_base,542 157344,con | centration,2,NO,542,con,157344,centration,,,,,,,,,,,,,3074,,,,,,
concentric,o200k_base,542 192971,con | centric,2,NO,542,con,192971,centric,,,,,,,,,,,,,3075,,,,,,
concept,o200k_base,109223,concept,1,YES,109223,concept,,,,,,,,,,,,,,,3076,,,,,,
conception,o200k_base,542 1317,con | ception,2,NO,542,con,1317,ception,,,,,,,,,,,,,3077,,,,,,
conceptual,o200k_base,109223 850,concept | ual,2,NO,109223,concept,850,ual,,,,,,,,,,,,,3078,,,,,,
conceptualization,o200k_base,109223 850 2860,concept | ual | ization,3,NO,109223,concept,850,ual,2860,ization,,,,,,,,,,,3079,,,,,,
conceptualize,o200k_base,109223 850 750,concept | ual | ize,3,NO,109223,concept,850,ual,750,ize,,,,,,,,,,,3080,,,,,,
conceptually,o200k_base,109223 2346,concept | ually,2,NO,109223,concept,2346,ually,,,,,,,,,,,,,3081,,,,,,
concern,o200k_base,50621 1706,conc | ern,2,NO,50621,conc,1706,ern,,,,,,,,,,,,,3082,,,,,,
concerned,o200k_base,50621 1706 295,conc | ern | ed,3,NO,50621,conc,1706,ern,295,ed,,,,,,,,,,,3083,,,,,,
concerning,o200k_base,542 149612,con | cerning,2,NO,542,con,149612,cerning,,,,,,,,,,,,,3084,,,,,,
concert,o200k_base,143438,concert,1,YES,143438,concert,,,,,,,,,,,,,,,3085,,,,,,
concerted,o200k_base,143438 295,concert | ed,2,NO,143438,concert,295,ed,,,,,,,,,,,,,3086,,,,,,
concerto,o200k_base,50621 14859,conc | erto,2,NO,50621,conc,14859,erto,,,,,,,,,,,,,3087,,,,,,
concession,o200k_base,542 36438,con | cession,2,NO,542,con,36438,cession,,,,,,,,,,,,,3088,,,,,,
concierge,o200k_base,50621 72864,conc | ierge,2,NO,50621,conc,72864,ierge,,,,,,,,,,,,,3089,,,,,,
conciliatory,o200k_base,50621 2751 7295,conc | ili | atory,3,NO,50621,conc,2751,ili,7295,atory,,,,,,,,,,,3090,,,,,,
concise,o200k_base,50621 1096,conc | ise,2,NO,50621,conc,1096,ise,,,,,,,,,,,,,3091,,,,,,
conclude,o200k_base,542 1472,con | clude,2,NO,542,con,1472,clude,,,,,,,,,,,,,3092,,,,,,
concluding,o200k_base,542 16640,con | cluding,2,NO,542,con,16640,cluding,,,,,,,,,,,,,3093,,,,,,
conclusion,o200k_base,542 15482,con | clusion,2,NO,542,con,15482,clusion,,,,,,,,,,,,,3094,,,,,,
conclusive,o200k_base,542 23591,con | clusive,2,NO,542,con,23591,clusive,,,,,,,,,,,,,3095,,,,,,
conclusively,o200k_base,542 4085 5861,con | clus | ively,3,NO,542,con,4085,clus,5861,ively,,,,,,,,,,,3096,,,,,,
concoct,o200k_base,542 1191 308,con | co | ct,3,NO,542,con,1191,co,308,ct,,,,,,,,,,,3097,,,,,,
concoction,o200k_base,542 1191 475,con | co | ction,3,NO,542,con,1191,co,475,ction,,,,,,,,,,,3098,,,,,,
concomitant,o200k_base,542 639 61641,con | com | itant,3,NO,542,con,639,com,61641,itant,,,,,,,,,,,3099,,,,,,
concourse,o200k_base,542 21960,con | course,2,NO,542,con,21960,course,,,,,,,,,,,,,3100,,,,,,
concrete,o200k_base,542 12252,con | crete,2,NO,542,con,12252,crete,,,,,,,,,,,,,3101,,,,,,
concur,o200k_base,542 3264,con | cur,2,NO,542,con,3264,cur,,,,,,,,,,,,,3102,,,,,,
concurrent,o200k_base,542 5804,con | current,2,NO,542,con,5804,current,,,,,,,,,,,,,3103,,,,,,
concurrently,o200k_base,542 110520,con | currently,2,NO,542,con,110520,currently,,,,,,,,,,,,,3104,,,,,,
concussion,o200k_base,542 33696,con | cussion,2,NO,542,con,33696,cussion,,,,,,,,,,,,,3105,,,,,,
condemn,o200k_base,1893 133678,cond | emn,2,NO,1893,cond,133678,emn,,,,,,,,,,,,,3106,,,,,,
condemnation,o200k_base,1893 133678 387,cond | emn | ation,3,NO,1893,cond,133678,emn,387,ation,,,,,,,,,,,3107,,,,,,
condemned,o200k_base,1893 347 32070,cond | em | ned,3,NO,1893,cond,347,em,32070,ned,,,,,,,,,,,3108,,,,,,
condensation,o200k_base,1893 50268,cond | ensation,2,NO,1893,cond,50268,ensation,,,,,,,,,,,,,3109,,,,,,
condense,o200k_base,1893 1603,cond | ense,2,NO,1893,cond,1603,ense,,,,,,,,,,,,,3110,,,,,,
condensed,o200k_base,1893 10413,cond | ensed,2,NO,1893,cond,10413,ensed,,,,,,,,,,,,,3111,,,,,,
condescending,o200k_base,1893 7484 3258,cond | esc | ending,3,NO,1893,cond,7484,esc,3258,ending,,,,,,,,,,,3112,,,,,,
condiment,o200k_base,1893 2581,cond | iment,2,NO,1893,cond,2581,iment,,,,,,,,,,,,,3113,,,,,,
condition,o200k_base,15688,condition,1,YES,15688,condition,,,,,,,,,,,,,,,3114,,,,,,
conditional,o200k_base,79838,conditional,1,YES,79838,conditional,,,,,,,,,,,,,,,3115,,,,,,
conditioner,o200k_base,15688 259,condition | er,2,NO,15688,condition,259,er,,,,,,,,,,,,,3116,,,,,,
conditioning,o200k_base,141042,conditioning,1,YES,141042,conditioning,,,,,,,,,,,,,,,3117,,,,,,
condo,o200k_base,1893 78,cond | o,2,NO,1893,cond,78,o,,,,,,,,,,,,,3118,,,,,,
condolence,o200k_base,1893 340 1082,cond | ol | ence,3,NO,1893,cond,340,ol,1082,ence,,,,,,,,,,,3119,,,,,,
condom,o200k_base,1893 310,cond | om,2,NO,1893,cond,310,om,,,,,,,,,,,,,3120,,,,,,
condominium,o200k_base,1893 310 27556,cond | om | inium,3,NO,1893,cond,310,om,27556,inium,,,,,,,,,,,3121,,,,,,
condone,o200k_base,1893 690,cond | one,2,NO,1893,cond,690,one,,,,,,,,,,,,,3122,,,,,,
condor,o200k_base,1893 267,cond | or,2,NO,1893,cond,267,or,,,,,,,,,,,,,3123,,,,,,
conducive,o200k_base,542 7452 585,con | duc | ive,3,NO,542,con,7452,duc,585,ive,,,,,,,,,,,3124,,,,,,
conduct,o200k_base,118755,conduct,1,YES,118755,conduct,,,,,,,,,,,,,,,3125,,,,,,
conductor,o200k_base,542 49523,con | ductor,2,NO,542,con,49523,ductor,,,,,,,,,,,,,3126,,,,,,
conduit,o200k_base,542 90246,con | duit,2,NO,542,con,90246,duit,,,,,,,,,,,,,3127,,,,,,
cone,o200k_base,80469,cone,1,YES,80469,cone,,,,,,,,,,,,,,,3128,,,,,,
confection,o200k_base,542 15298,con | fection,2,NO,542,con,15298,fection,,,,,,,,,,,,,3129,,,,,,
confectioner,o200k_base,542 15298 259,con | fection | er,3,NO,542,con,15298,fection,259,er,,,,,,,,,,,3130,,,,,,
confederation,o200k_base,16030 3522 387,conf | eder | ation,3,NO,16030,conf,3522,eder,387,ation,,,,,,,,,,,3131,,,,,,
confer,o200k_base,542 855,con | fer,2,NO,542,con,855,fer,,,,,,,,,,,,,3132,,,,,,
conference,o200k_base,156434,conference,1,YES,156434,conference,,,,,,,,,,,,,,,3133,,,,,,
confess,o200k_base,16030 436,conf | ess,2,NO,16030,conf,436,ess,,,,,,,,,,,,,3134,,,,,,
confession,o200k_base,16030 1685,conf | ession,2,NO,16030,conf,1685,ession,,,,,,,,,,,,,3135,,,,,,
confessional,o200k_base,16030 16492,conf | essional,2,NO,16030,conf,16492,essional,,,,,,,,,,,,,3136,,,,,,
confidant,o200k_base,16030 315 493,conf | id | ant,3,NO,16030,conf,315,id,493,ant,,,,,,,,,,,3137,,,,,,
confide,o200k_base,16030 617,conf | ide,2,NO,16030,conf,617,ide,,,,,,,,,,,,,3138,,,,,,
confidence,o200k_base,188856,confidence,1,YES,188856,confidence,,,,,,,,,,,,,,,3139,,,,,,
confident,o200k_base,16030 2477,conf | ident,2,NO,16030,conf,2477,ident,,,,,,,,,,,,,3140,,,,,,
confidential,o200k_base,16030 13299,conf | idential,2,NO,16030,conf,13299,idential,,,,,,,,,,,,,3141,,,,,,
confidentiality,o200k_base,16030 13299 536,conf | idential | ity,3,NO,16030,conf,13299,idential,536,ity,,,,,,,,,,,3142,,,,,,
confidently,o200k_base,16030 2477 423,conf | ident | ly,3,NO,16030,conf,2477,ident,423,ly,,,,,,,,,,,3143,,,,,,
configuration,o200k_base,44413,configuration,1,YES,44413,configuration,,,,,,,,,,,,,,,3144,,,,,,
configure,o200k_base,58856,configure,1,YES,58856,configure,,,,,,,,,,,,,,,3145,,,,,,
confine,o200k_base,16030 514,conf | ine,2,NO,16030,conf,514,ine,,,,,,,,,,,,,3146,,,,,,
confinement,o200k_base,542 6994 962,con | fin | ement,3,NO,542,con,6994,fin,962,ement,,,,,,,,,,,3147,,,,,,
confirm,o200k_base,25464,confirm,1,YES,25464,confirm,,,,,,,,,,,,,,,3148,,,,,,
confirmation,o200k_base,132091,confirmation,1,YES,132091,confirmation,,,,,,,,,,,,,,,3149,,,,,,
confirmed,o200k_base,90398,confirmed,1,YES,90398,confirmed,,,,,,,,,,,,,,,3150,,,,,,
confiscate,o200k_base,16030 8605 379,conf | isc | ate,3,NO,16030,conf,8605,isc,379,ate,,,,,,,,,,,3151,,,,,,
conflict,o200k_base,16030 38585,conf | lict,2,NO,16030,conf,38585,lict,,,,,,,,,,,,,3152,,,,,,
conflicting,o200k_base,16030 164635,conf | licting,2,NO,16030,conf,164635,licting,,,,,,,,,,,,,3153,,,,,,
confluence,o200k_base,542 65711,con | fluence,2,NO,542,con,65711,fluence,,,,,,,,,,,,,3154,,,,,,
conform,o200k_base,542 700,con | form,2,NO,542,con,700,form,,,,,,,,,,,,,3155,,,,,,
conformity,o200k_base,542 700 536,con | form | ity,3,NO,542,con,700,form,536,ity,,,,,,,,,,,3156,,,,,,
confound,o200k_base,16030 895,conf | ound,2,NO,16030,conf,895,ound,,,,,,,,,,,,,3157,,,,,,
confront,o200k_base,542 10313,con | front,2,NO,542,con,10313,front,,,,,,,,,,,,,3158,,,,,,
confrontation,o200k_base,542 10313 387,con | front | ation,3,NO,542,con,10313,front,387,ation,,,,,,,,,,,3159,,,,,,
confrontational,o200k_base,542 10313 1953,con | front | ational,3,NO,542,con,10313,front,1953,ational,,,,,,,,,,,3160,,,,,,
confuse,o200k_base,16030 1821,conf | use,2,NO,16030,conf,1821,use,,,,,,,,,,,,,3161,,,,,,
confused,o200k_base,16030 4943,conf | used,2,NO,16030,conf,4943,used,,,,,,,,,,,,,3162,,,,,,
confusing,o200k_base,16030 1846,conf | using,2,NO,16030,conf,1846,using,,,,,,,,,,,,,3163,,,,,,
confusion,o200k_base,16030 10514,conf | usion,2,NO,16030,conf,10514,usion,,,,,,,,,,,,,3164,,,,,,
congenial,o200k_base,542 2468 563,con | gen | ial,3,NO,542,con,2468,gen,563,ial,,,,,,,,,,,3165,,,,,,
congenital,o200k_base,542 2468 2258,con | gen | ital,3,NO,542,con,2468,gen,2258,ital,,,,,,,,,,,3166,,,,,,
congested,o200k_base,542 6488 295,con | gest | ed,3,NO,542,con,6488,gest,295,ed,,,,,,,,,,,3167,,,,,,
congestion,o200k_base,542 68526,con | gestion,2,NO,542,con,68526,gestion,,,,,,,,,,,,,3168,,,,,,
conglomerate,o200k_base,542 106939 379,con | glomer | ate,3,NO,542,con,106939,glomer,379,ate,,,,,,,,,,,3169,,,,,,
congratulate,o200k_base,542 111291 10111,con | grat | ulate,3,NO,542,con,111291,grat,10111,ulate,,,,,,,,,,,3170,,,,,,
congratulations,o200k_base,542 111291 14571,con | grat | ulations,3,NO,542,con,111291,grat,14571,ulations,,,,,,,,,,,3171,,,,,,
congregate,o200k_base,542 18269 379,con | greg | ate,3,NO,542,con,18269,greg,379,ate,,,,,,,,,,,3172,,,,,,
congregation,o200k_base,542 18269 387,con | greg | ation,3,NO,542,con,18269,greg,387,ation,,,,,,,,,,,3173,,,,,,
congregational,o200k_base,542 18269 1953,con | greg | ational,3,NO,542,con,18269,greg,1953,ational,,,,,,,,,,,3174,,,,,,
congress,o200k_base,542 3765,con | gress,2,NO,542,con,3765,gress,,,,,,,,,,,,,3175,,,,,,
congressional,o200k_base,542 3765 2306,con | gress | ional,3,NO,542,con,3765,gress,2306,ional,,,,,,,,,,,3176,,,,,,
congressman,o200k_base,542 3765 2309,con | gress | man,3,NO,542,con,3765,gress,2309,man,,,,,,,,,,,3177,,,,,,
congruence,o200k_base,542 124397 1082,con | gru | ence,3,NO,542,con,124397,gru,1082,ence,,,,,,,,,,,3178,,,,,,
congruent,o200k_base,542 896 11823,con | gr | uent,3,NO,542,con,896,gr,11823,uent,,,,,,,,,,,3179,,,,,,
conifer,o200k_base,542 13325,con | ifer,2,NO,542,con,13325,ifer,,,,,,,,,,,,,3180,,,,,,
conjecture,o200k_base,542 728 627,con | ject | ure,3,NO,542,con,728,ject,627,ure,,,,,,,,,,,3181,,,,,,
conjunction,o200k_base,542 140291,con | junction,2,NO,542,con,140291,junction,,,,,,,,,,,,,3182,,,,,,
conjure,o200k_base,542 73 627,con | j | ure,3,NO,542,con,73,j,627,ure,,,,,,,,,,,3183,,,,,,
connect,o200k_base,9291,connect,1,YES,9291,connect,,,,,,,,,,,,,,,3184,,,,,,
connected,o200k_base,26297,connected,1,YES,26297,connected,,,,,,,,,,,,,,,3185,,,,,,
connectedness,o200k_base,26297 2816,connected | ness,2,NO,26297,connected,2816,ness,,,,,,,,,,,,,3186,,,,,,
connecting,o200k_base,162703,connecting,1,YES,162703,connecting,,,,,,,,,,,,,,,3187,,,,,,
connection,o200k_base,15986,connection,1,YES,15986,connection,,,,,,,,,,,,,,,3188,,,,,,
connectivity,o200k_base,9291 2409,connect | ivity,2,NO,9291,connect,2409,ivity,,,,,,,,,,,,,3189,,,,,,
connector,o200k_base,110050,connector,1,YES,110050,connector,,,,,,,,,,,,,,,3190,,,,,,
connoisseur,o200k_base,542 1750 67561,con | no | isseur,3,NO,542,con,1750,no,67561,isseur,,,,,,,,,,,3191,,,,,,
connotation,o200k_base,542 15668,con | notation,2,NO,542,con,15668,notation,,,,,,,,,,,,,3192,,,,,,
connote,o200k_base,12394 1962,conn | ote,2,NO,12394,conn,1962,ote,,,,,,,,,,,,,3193,,,,,,
conquer,o200k_base,542 8054,con | quer,2,NO,542,con,8054,quer,,,,,,,,,,,,,3194,,,,,,
conquering,o200k_base,542 351 3936,con | qu | ering,3,NO,542,con,351,qu,3936,ering,,,,,,,,,,,3195,,,,,,
conqueror,o200k_base,542 8054 267,con | quer | or,3,NO,542,con,8054,quer,267,or,,,,,,,,,,,3196,,,,,,
conquest,o200k_base,542 1061,con | quest,2,NO,542,con,1061,quest,,,,,,,,,,,,,3197,,,,,,
conscience,o200k_base,542 134186,con | science,2,NO,542,con,134186,science,,,,,,,,,,,,,3198,,,,,,
conscientious,o200k_base,542 122801 1595,con | scient | ious,3,NO,542,con,122801,scient,1595,ious,,,,,,,,,,,3199,,,,,,
conscious,o200k_base,542 39757,con | scious,2,NO,542,con,39757,scious,,,,,,,,,,,,,3200,,,,,,
consciously,o200k_base,542 136442,con | sciously,2,NO,542,con,136442,sciously,,,,,,,,,,,,,3201,,,,,,
consciousness,o200k_base,542 39757 2816,con | scious | ness,3,NO,542,con,39757,scious,2816,ness,,,,,,,,,,,3202,,,,,,
conscript,o200k_base,542 4822,con | script,2,NO,542,con,4822,script,,,,,,,,,,,,,3203,,,,,,
consecutive,o200k_base,542 165873,con | secutive,2,NO,542,con,165873,secutive,,,,,,,,,,,,,3204,,,,,,
consensual,o200k_base,9673 696 850,cons | ens | ual,3,NO,9673,cons,696,ens,850,ual,,,,,,,,,,,3205,,,,,,
consensus,o200k_base,9673 22296,cons | ensus,2,NO,9673,cons,22296,ensus,,,,,,,,,,,,,3206,,,,,,
consent,o200k_base,9673 299,cons | ent,2,NO,9673,cons,299,ent,,,,,,,,,,,,,3207,,,,,,
consequence,o200k_base,542 47173,con | sequence,2,NO,542,con,47173,sequence,,,,,,,,,,,,,3208,,,,,,
consequent,o200k_base,542 344 13238,con | se | quent,3,NO,542,con,344,se,13238,quent,,,,,,,,,,,3209,,,,,,
consequently,o200k_base,542 344 23313,con | se | quently,3,NO,542,con,344,se,23313,quently,,,,,,,,,,,3210,,,,,,
conservation,o200k_base,542 27602,con | servation,2,NO,542,con,27602,servation,,,,,,,,,,,,,3211,,,,,,
conservationist,o200k_base,542 27602 421,con | servation | ist,3,NO,542,con,27602,servation,421,ist,,,,,,,,,,,3212,,,,,,
conservatism,o200k_base,542 1850 266 2367,con | serv | at | ism,4,NO,542,con,1850,serv,266,at,2367,ism,,,,,,,,,3213,,,,,,
conservative,o200k_base,542 153464,con | servative,2,NO,542,con,153464,servative,,,,,,,,,,,,,3214,,,,,,
conservatively,o200k_base,542 1850 11594,con | serv | atively,3,NO,542,con,1850,serv,11594,atively,,,,,,,,,,,3215,,,,,,
conservatory,o200k_base,542 1850 7295,con | serv | atory,3,NO,542,con,1850,serv,7295,atory,,,,,,,,,,,3216,,,,,,
conserve,o200k_base,542 12050,con | serve,2,NO,542,con,12050,serve,,,,,,,,,,,,,3217,,,,,,
consider,o200k_base,59464,consider,1,YES,59464,consider,,,,,,,,,,,,,,,3218,,,,,,
considerable,o200k_base,59464 562,consider | able,2,NO,59464,consider,562,able,,,,,,,,,,,,,3219,,,,,,
considerably,o200k_base,59464 4235,consider | ably,2,NO,59464,consider,4235,ably,,,,,,,,,,,,,3220,,,,,,
considerate,o200k_base,59464 379,consider | ate,2,NO,59464,consider,379,ate,,,,,,,,,,,,,3221,,,,,,
consideration,o200k_base,59464 387,consider | ation,2,NO,59464,consider,387,ation,,,,,,,,,,,,,3222,,,,,,
considering,o200k_base,59464 289,consider | ing,2,NO,59464,consider,289,ing,,,,,,,,,,,,,3223,,,,,,
consign,o200k_base,9673 733,cons | ign,2,NO,9673,cons,733,ign,,,,,,,,,,,,,3224,,,,,,
consist,o200k_base,9673 421,cons | ist,2,NO,9673,cons,421,ist,,,,,,,,,,,,,3225,,,,,,
consistency,o200k_base,9673 81081,cons | istency,2,NO,9673,cons,81081,istency,,,,,,,,,,,,,3226,,,,,,
consistent,o200k_base,173878,consistent,1,YES,173878,consistent,,,,,,,,,,,,,,,3227,,,,,,
consistently,o200k_base,9673 421 3874,cons | ist | ently,3,NO,9673,cons,421,ist,3874,ently,,,,,,,,,,,3228,,,,,,
consolation,o200k_base,542 4399 387,con | sol | ation,3,NO,542,con,4399,sol,387,ation,,,,,,,,,,,3229,,,,,,
console,o200k_base,9343,console,1,YES,9343,console,,,,,,,,,,,,,,,3230,,,,,,
consolidate,o200k_base,542 39932 379,con | solid | ate,3,NO,542,con,39932,solid,379,ate,,,,,,,,,,,3231,,,,,,
